asset_id,tag,name,type,subtype,parent_id,area,location,manufacturer,model,install_date,status,criticality
FAC-001,NPA-001,North Sea Platform Alpha,Facility,OffshorePlatform,,,North Sea Block 14/29,Aker Solutions,Semi-submersible,2008-06-15,OPERATING,HIGH
AREA-HP-SEP,AREA-HP-SEP,HP Separation Train,Area,ProcessArea,FAC-001,HP Separation Train,Deck A,,,2008-06-15,OPERATING,HIGH
AREA-HP-SEP:V-101,V-101,HP Production Separator,Vessel,Separator,AREA-HP-SEP,HP Separation Train,Deck A,Forum Energy Technologies,VES-5034,2021-09-05,OPERATING,MEDIUM
AREA-HP-SEP:V-102,V-102,Test Separator,Vessel,Separator,AREA-HP-SEP,HP Separation Train,Deck A,Peerless,VES-6622,2021-06-07,MAINTENANCE,MEDIUM
AREA-HP-SEP:E-101,E-101,Wellstream Heater,HeatExchanger,Shell&Tube,AREA-HP-SEP,HP Separation Train,Deck A,Harsco,HEA-3763,2016-07-20,STANDBY,MEDIUM
AREA-HP-SEP:E-102,E-102,HP Glycol Reboiler,HeatExchanger,Shell&Tube,AREA-HP-SEP,HP Separation Train,Deck A,Alfa Laval,HEA-5237,2021-01-17,OPERATING,MEDIUM
AREA-HP-SEP:P-101,P-101,HP Separator Drain Pump A,Pump,CentrifugalPump,AREA-HP-SEP,HP Separation Train,Deck A,Flowserve,PUM-1556,2016-10-15,OPERATING,HIGH
AREA-HP-SEP:P-102,P-102,HP Separator Drain Pump B,Pump,CentrifugalPump,AREA-HP-SEP,HP Separation Train,Deck A,Sulzer,PUM-8584,2018-10-09,OPERATING,HIGH
AREA-HP-SEP:FT-101,FT-101,HP Sep Gas Flow Meter,Instrument,FlowTransmitter,AREA-HP-SEP,HP Separation Train,Deck A,Emerson,INS-1462,2019-08-07,STANDBY,LOW
AREA-HP-SEP:FT-102,FT-102,HP Sep Oil Flow Meter,Instrument,FlowTransmitter,AREA-HP-SEP,HP Separation Train,Deck A,Honeywell,INS-3732,2020-11-15,OPERATING,LOW
AREA-HP-SEP:PT-101,PT-101,HP Sep Pressure Transmitter A,Instrument,PressureTransmitter,AREA-HP-SEP,HP Separation Train,Deck A,Honeywell,INS-3636,2015-08-20,STANDBY,LOW
AREA-HP-SEP:PT-102,PT-102,HP Sep Pressure Transmitter B,Instrument,PressureTransmitter,AREA-HP-SEP,HP Separation Train,Deck A,Yokogawa,INS-1791,2022-06-27,OPERATING,LOW
AREA-HP-SEP:LT-101,LT-101,HP Sep Level Transmitter A,Instrument,LevelTransmitter,AREA-HP-SEP,HP Separation Train,Deck A,Emerson,INS-1142,2017-06-18,MAINTENANCE,LOW
AREA-HP-SEP:LT-102,LT-102,HP Sep Level Transmitter B,Instrument,LevelTransmitter,AREA-HP-SEP,HP Separation Train,Deck A,Emerson,INS-7476,2022-04-20,OPERATING,LOW
AREA-HP-SEP:TT-101,TT-101,HP Sep Temperature Tx A,Instrument,TemperatureTransmitter,AREA-HP-SEP,HP Separation Train,Deck A,ABB,INS-8397,2015-12-16,MAINTENANCE,LOW
AREA-HP-SEP:TT-102,TT-102,HP Sep Temperature Tx B,Instrument,TemperatureTransmitter,AREA-HP-SEP,HP Separation Train,Deck A,ABB,INS-6206,2017-08-10,STANDBY,LOW
AREA-HP-SEP:PSV-101,PSV-101,HP Sep Pressure Safety Valve,Valve,SafetyValve,AREA-HP-SEP,HP Separation Train,Deck A,Cameron,VAL-5047,2021-09-28,MAINTENANCE,LOW
AREA-HP-SEP:SDV-101,SDV-101,HP Sep Shutdown Valve,Valve,ShutdownValve,AREA-HP-SEP,HP Separation Train,Deck A,Velan,VAL-5906,2017-02-20,OPERATING,LOW
AREA-HP-SEP:LCV-101,LCV-101,HP Sep Level Control Valve,Valve,ControlValve,AREA-HP-SEP,HP Separation Train,Deck A,Flowserve,VAL-9142,2015-06-24,OPERATING,LOW
AREA-HP-SEP:PCV-101,PCV-101,HP Sep Pressure Control Valve,Valve,ControlValve,AREA-HP-SEP,HP Separation Train,Deck A,Neles,VAL-2605,2020-09-07,OPERATING,LOW
AREA-LP-COMP,AREA-LP-COMP,LP Compression Train,Area,ProcessArea,FAC-001,LP Compression Train,Deck B,,,2008-06-15,OPERATING,HIGH
AREA-LP-COMP:K-201,K-201,LP Compressor A,Compressor,Centrifugal,AREA-LP-COMP,LP Compression Train,Deck B,Siemens,COM-6891,2017-03-18,MAINTENANCE,HIGH
AREA-LP-COMP:K-202,K-202,LP Compressor B,Compressor,Centrifugal,AREA-LP-COMP,LP Compression Train,Deck B,Atlas Copco,COM-8131,2018-02-25,OPERATING,HIGH
AREA-LP-COMP:V-201,V-201,LP Suction Scrubber A,Vessel,Scrubber,AREA-LP-COMP,LP Compression Train,Deck B,Exterran,VES-7636,2020-11-26,OPERATING,MEDIUM
AREA-LP-COMP:V-202,V-202,LP Suction Scrubber B,Vessel,Scrubber,AREA-LP-COMP,LP Compression Train,Deck B,Forum Energy Technologies,VES-5403,2016-01-20,STANDBY,MEDIUM
AREA-LP-COMP:E-201,E-201,LP Compressor Aftercooler A,HeatExchanger,AirCooled,AREA-LP-COMP,LP Compression Train,Deck B,SWEP,HEA-3479,2017-01-07,MAINTENANCE,MEDIUM
AREA-LP-COMP:E-202,E-202,LP Compressor Aftercooler B,HeatExchanger,AirCooled,AREA-LP-COMP,LP Compression Train,Deck B,Tranter,HEA-9897,2016-03-16,OPERATING,MEDIUM
AREA-LP-COMP:PT-201,PT-201,LP Suction Pressure Tx A,Instrument,PressureTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Honeywell,INS-4909,2018-09-12,OPERATING,LOW
AREA-LP-COMP:PT-202,PT-202,LP Suction Pressure Tx B,Instrument,PressureTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Yokogawa,INS-3945,2018-08-16,OPERATING,LOW
AREA-LP-COMP:PT-203,PT-203,LP Discharge Pressure Tx A,Instrument,PressureTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Honeywell,INS-3928,2017-04-19,OPERATING,LOW
AREA-LP-COMP:PT-204,PT-204,LP Discharge Pressure Tx B,Instrument,PressureTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Emerson,INS-7254,2017-02-09,OPERATING,LOW
AREA-LP-COMP:FT-201,FT-201,LP Compressor Suction Flow Tx,Instrument,FlowTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,ABB,INS-2869,2018-05-20,MAINTENANCE,LOW
AREA-LP-COMP:VT-201,VT-201,K-201 Vibration Sensor DE,Instrument,VibrationTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Yokogawa,INS-4954,2016-11-15,MAINTENANCE,LOW
AREA-LP-COMP:VT-202,VT-202,K-201 Vibration Sensor NDE,Instrument,VibrationTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Yokogawa,INS-5050,2016-08-23,OPERATING,LOW
AREA-LP-COMP:VT-203,VT-203,K-202 Vibration Sensor DE,Instrument,VibrationTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Honeywell,INS-5910,2022-06-25,MAINTENANCE,LOW
AREA-LP-COMP:TT-201,TT-201,LP Comp A Discharge Temp,Instrument,TemperatureTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Endress+Hauser,INS-1481,2015-03-15,STANDBY,LOW
AREA-LP-COMP:TT-202,TT-202,LP Comp B Discharge Temp,Instrument,TemperatureTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,Endress+Hauser,INS-9923,2021-08-24,MAINTENANCE,LOW
AREA-LP-COMP:LT-201,LT-201,LP Scrubber A Level Tx,Instrument,LevelTransmitter,AREA-LP-COMP,LP Compression Train,Deck B,ABB,INS-4159,2018-11-20,OPERATING,LOW
AREA-LP-COMP:SDV-201,SDV-201,LP Comp A Suction SDV,Valve,ShutdownValve,AREA-LP-COMP,LP Compression Train,Deck B,Neles,VAL-6633,2017-11-05,OPERATING,LOW
AREA-LP-COMP:SDV-202,SDV-202,LP Comp B Suction SDV,Valve,ShutdownValve,AREA-LP-COMP,LP Compression Train,Deck B,Emerson Fisher,VAL-1769,2020-09-27,MAINTENANCE,LOW
AREA-LP-COMP:PCV-201,PCV-201,LP Comp A Anti-Surge Valve,Valve,ControlValve,AREA-LP-COMP,LP Compression Train,Deck B,Velan,VAL-7367,2016-04-04,OPERATING,LOW
AREA-WATER,AREA-WATER,Water Treatment,Area,ProcessArea,FAC-001,Water Treatment,Deck C,,,2008-06-15,OPERATING,HIGH
AREA-WATER:V-301,V-301,Produced Water Vessel,Vessel,SeparationVessel,AREA-WATER,Water Treatment,Deck C,Peerless,VES-4968,2019-09-23,STANDBY,MEDIUM
AREA-WATER:V-302,V-302,Deoiling Hydrocyclone Package,Vessel,Hydrocyclone,AREA-WATER,Water Treatment,Deck C,Exterran,VES-6997,2019-06-14,OPERATING,MEDIUM
AREA-WATER:E-301,E-301,Produced Water Cooler,HeatExchanger,Shell&Tube,AREA-WATER,Water Treatment,Deck C,Tranter,HEA-3987,2017-02-15,OPERATING,MEDIUM
AREA-WATER:P-301,P-301,Produced Water Transfer Pump A,Pump,CentrifugalPump,AREA-WATER,Water Treatment,Deck C,KSB,PUM-5931,2020-06-04,OPERATING,HIGH
