sensor_id,asset_id,tag,name,sensor_type,unit,normal_min,normal_max,alarm_low,alarm_high,trip_low,trip_high,area,location
V-101-PRESS,AREA-HP-SEP:V-101,V-101/PRESS,HP Production Separator - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,HP Separation Train,Deck A
V-101-LEVEL,AREA-HP-SEP:V-101,V-101/LEVEL,HP Production Separator - LEVEL,LEVEL,%,30,70,25.5,80.5,21,91,HP Separation Train,Deck A
V-101-TEMP,AREA-HP-SEP:V-101,V-101/TEMP,HP Production Separator - TEMPERATURE,TEMPERATURE,degC,40,90,34,103.5,28,117,HP Separation Train,Deck A
V-101-GAS_FLOW,AREA-HP-SEP:V-101,V-101/GAS_FLOW,HP Production Separator - FLOW,FLOW,MMscfd,2,20,1.7,23,1.4,26,HP Separation Train,Deck A
V-101-OIL_FLOW,AREA-HP-SEP:V-101,V-101/OIL_FLOW,HP Production Separator - FLOW,FLOW,m3/h,20,200,17,230,14,260,HP Separation Train,Deck A
V-102-PRESS,AREA-HP-SEP:V-102,V-102/PRESS,Test Separator - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,HP Separation Train,Deck A
V-102-LEVEL,AREA-HP-SEP:V-102,V-102/LEVEL,Test Separator - LEVEL,LEVEL,%,30,70,25.5,80.5,21,91,HP Separation Train,Deck A
V-102-TEMP,AREA-HP-SEP:V-102,V-102/TEMP,Test Separator - TEMPERATURE,TEMPERATURE,degC,40,90,34,103.5,28,117,HP Separation Train,Deck A
V-102-GAS_FLOW,AREA-HP-SEP:V-102,V-102/GAS_FLOW,Test Separator - FLOW,FLOW,MMscfd,2,20,1.7,23,1.4,26,HP Separation Train,Deck A
V-102-OIL_FLOW,AREA-HP-SEP:V-102,V-102/OIL_FLOW,Test Separator - FLOW,FLOW,m3/h,20,200,17,230,14,260,HP Separation Train,Deck A
E-101-TINLET,AREA-HP-SEP:E-101,E-101/TINLET,Wellstream Heater - TEMPERATURE,TEMPERATURE,degC,50,120,42.5,138,35,156,HP Separation Train,Deck A
E-101-TOUTLET,AREA-HP-SEP:E-101,E-101/TOUTLET,Wellstream Heater - TEMPERATURE,TEMPERATURE,degC,30,70,25.5,80.5,21,91,HP Separation Train,Deck A
E-101-PSHELL,AREA-HP-SEP:E-101,E-101/PSHELL,Wellstream Heater - PRESSURE,PRESSURE,bar,3,15,2.55,17.25,2.1,19.5,HP Separation Train,Deck A
E-101-FLOW,AREA-HP-SEP:E-101,E-101/FLOW,Wellstream Heater - FLOW,FLOW,m3/h,30,150,25.5,172.5,21,195,HP Separation Train,Deck A
E-102-TINLET,AREA-HP-SEP:E-102,E-102/TINLET,HP Glycol Reboiler - TEMPERATURE,TEMPERATURE,degC,50,120,42.5,138,35,156,HP Separation Train,Deck A
E-102-TOUTLET,AREA-HP-SEP:E-102,E-102/TOUTLET,HP Glycol Reboiler - TEMPERATURE,TEMPERATURE,degC,30,70,25.5,80.5,21,91,HP Separation Train,Deck A
E-102-PSHELL,AREA-HP-SEP:E-102,E-102/PSHELL,HP Glycol Reboiler - PRESSURE,PRESSURE,bar,3,15,2.55,17.25,2.1,19.5,HP Separation Train,Deck A
E-102-FLOW,AREA-HP-SEP:E-102,E-102/FLOW,HP Glycol Reboiler - FLOW,FLOW,m3/h,30,150,25.5,172.5,21,195,HP Separation Train,Deck A
P-101-FLOW,AREA-HP-SEP:P-101,P-101/FLOW,HP Separator Drain Pump A - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,HP Separation Train,Deck A
P-101-PRESS,AREA-HP-SEP:P-101,P-101/PRESS,HP Separator Drain Pump A - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,HP Separation Train,Deck A
P-101-VIB,AREA-HP-SEP:P-101,P-101/VIB,HP Separator Drain Pump A - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,HP Separation Train,Deck A
P-101-CURR,AREA-HP-SEP:P-101,P-101/CURR,HP Separator Drain Pump A - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,HP Separation Train,Deck A
P-101-TEMP,AREA-HP-SEP:P-101,P-101/TEMP,HP Separator Drain Pump A - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,HP Separation Train,Deck A
P-102-FLOW,AREA-HP-SEP:P-102,P-102/FLOW,HP Separator Drain Pump B - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,HP Separation Train,Deck A
